,title,company,rating,search_city,location,salary,age,summary
92,"Regulatory Affairs Specialist, Google Health",Google,4.3,London,London,,5 days ago,Experience with device vigilance and supporting regulatory product submissions.Experience in regulatory aspects of medical devices and quality management for…
93,"Software Engineer, Android Application",Google,4.3,London,London,,18 days ago,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…"
94,"Research Scientist, Security and Privacy",Google,4.3,London,London,,18 days ago,Participate in machine intelligence research and machine learning applications.From creating experiments and prototyping implementations to designing new…
95,Personal Assistant,Echobox,,London,London,"£30,000 a year",30+ days ago,"We are looking for an enthusiastic, agile, diligent and highly organised Executive Assistant to support our senior management in pioneering technological…"
96,Management Consultant – Organisational Dexterity Public Sect...,Capgemini,3.8,London,London,,30+ days ago,"The focus of your role.In your role, you will engage with a range of clients to help propose and deliver benefits through the full range of their programmes…"
97,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
98,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
99,Senior Launch Manager (Head Office Based),The Chat Shop,2.6,London,,"£35,000 - £40,000 a year",13 days ago,"Experience in Artificial Intelligence, Machine Learning, and Natural Language Processing is a bonus.Remuneration: £35,000 - £40,000 (depending on experience)."
100,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
101,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
102,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
103,Data Scientist,Digital Taxonomy,,London,London,"£40,000 a year",Today,Developing and improving our supervised and unsupervised Artificial Intelligence components.The data scientist will assist with the development of our ground…
104,Data Science PhD Intern,Spectra Analytics,5.0,London,London,"£1,500 a month",Just posted,"Our projects have included: Natural Language Processing of medical documents to help reduce the pressure on the NHS, deep learning video analysis to improve…"
105,Internship (Operations),Echobox,,London,London,,30+ days ago,"Start date: As soon as possible.We are looking for an enthusiastic, agile, diligent and highly organised Intern to support our senior management in pioneering…"
106,Financial Engineer,110 Talent,,London,London,,11 days ago,Evaluating and enhancing company’s current set of financial models.Gain a strong understanding of derivatives theory and its application within the context of…
107,Hiring Associate (London),Echobox,,London,London,,30+ days ago,"You will be responsible for devising, implementing and supervising a new recruitment strategy to achieve our ambitious hiring goals, as well as giving…"
108,"Project Manager, EMEA",HighRadius,,London,London SW1V,,30+ days ago,"Powered by the RivanaTM Artificial Intelligence Engine purpose-built for finance and the FreedaTM Digital Assistant, HighRadius enables teams to leverage…"
109,DATA SCIENCE INTERN,Found,,London,London,,30+ days ago,"You have a curiosity for data and artificial intelligence.You’ll get real hands on experience, learning from our brilliant Analytics team."
110,Customer Insights Lead (London),Echobox,,London,London,,30+ days ago,You will work closely with our sales team to help meet the day to day business needs of Echobox.This includes supporting our Regional Directors with lead…
111,Customer Support Manager,Echobox,,London,London,,30+ days ago,"We are looking for a Customer Support Manager to sit between our engineering and sales teams to predict, prevent and solve all customer product issues."
112,Operations Executive,Echobox,,London,London,,30+ days ago,"You will work closely with our Head of Operations to help execute, streamline, and scale all business aspects of Echobox.Minimum 2.1 degree (or equivalent)."
113,Senior Launch Manager (Head Office Based),The Chat Shop,2.6,London,,"£35,000 - £40,000 a year",13 days ago,"Experience in Artificial Intelligence, Machine Learning, and Natural Language Processing is a bonus.Remuneration: £35,000 - £40,000 (depending on experience)."
114,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
115,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
116,Senior Launch Manager (Head Office Based),The Chat Shop,2.6,London,,"£35,000 - £40,000 a year",13 days ago,"Experience in Artificial Intelligence, Machine Learning, and Natural Language Processing is a bonus.Remuneration: £35,000 - £40,000 (depending on experience)."
117,Python Developer (Contract),Babylon Health,2.7,London,London,,12 days ago,"We’re looking for a Software Engineer specialising in Django and React technologies.Main responsibility will be to work on the Case Card CMS, aka “C3MS”."
118,BLOCKCHAIN LEAD (INNOVATION LEAD),Bangura Solutions,,London,London,,30+ days ago,This will initially start as an Strategic Manager role but it is likely to evolve into more a a delivery manager role - building and managing a team.
119,IT Transformation Consultants,Wavestone,,London,London,,30+ days ago,"Emerging technologies (Internet of Things, Artificial Intelligence, Blockchain, etc).It is essential you have previously worked in a permanent role for a…"
120,Social Media Editor,Echobox,,London,London,,30+ days ago,Taking charge of our social media channels.Working with our product manager and developers to collect and implement customer feedback.
121,Administrative Office Assistant (UK),Neato Robotics,,London,London,,30+ days ago,"Our management team is seasoned in leading startups from early stage to successful multinational enterprises.Organizing team events regarding venues, logistics…"
122,Customer Success Specialist (London),Echobox,,London,London,,30+ days ago,"We are looking for a Customer Success Specialist to join our growing company.By ensuring high retention rates and outstanding customer satisfaction, you will…"
123,Assistant Producer - French News,PERFORM Group,3.8,London,London,,3 days ago,Assistant Producer - French News - (UK 3204).Job Title: Assistant Producer – French Team.Contract Type: 6-month fixed term contract.
124,"Technical Sourcer, AR/VR",Facebook,4.2,London,London,,30+ days ago,"Work closely with Recruiters and hiring managers to deeply understand technical requirements of the role, the function and how it fits into the organization."
125,Support Software Intern (London),Echobox,,London,London,,30+ days ago,"This includes triaging potential product issues for our global client base, which includes The Times, The Guardian, Le Monde and Conde Nast; building better…"
126,Research and Pre-Sales intern,DragonflyAI,,London,Victoria,,30+ days ago,"We are DragonflyAI, a human in the loop artificial intelligence solution.Initially for 3 months, 3/4 days a week paid."
127,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
128,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
