,title,company,rating,search_city,location,salary,age,summary
593,Placement / Graduate Position - Solution Engineer / Architec...,Oracle,3.8,Oxford,Reading,,30+ days ago,"Underpinned by the migration of infrastructure, platforms and applications to a cloud based delivery model, technologies such as big data, analytics, internet…"
594,Global Clinical Project Manager / Senior Clinical Project Ma...,IQVIA,3.9,Oxford,Reading,,30+ days ago,"You will be supported by domain experts in every function, enabled by best in class technology and data analytics.In depth therapeutic and protocol knowledge."
595,"Placement - HCM Sales Development (July 2020, 12 month place...",Oracle,3.8,Oxford,Reading,,30+ days ago,"Ability to interpret and understand data and present it in creative and compelling ways.Underpinned by the migration of infrastructure, platforms and…"
596,BDR / SDR Software Sector,Synchro Europe,,Oxford,Reading,"£40,000 a year",30+ days ago,"Identify, profile and engage with large enterprise prospect accounts.Identify opportunities for substantial growth among selected existing accounts."
597,"Test Analyst (Big Data, Hadoop)",Outsource UK,3.0,Oxford,,,12 days ago,"Responsible for data ingestion from all sources for the retail and corporate Bank into the Big Data Analytics cluster.Previously used ALM, UAT and Big Data."
598,Senior Business Analyst,Allen Associates,4.9,Oxford,,"£60,000 - £66,000 a year",4 days ago,"Providing data mining and modelling.Overseeing global customer data audits.As the Senior Business Analyst, you will be responsible for translating raw data…"
599,Data Analyst,Allen Associates,4.9,Oxford,,"£40,000 - £45,000 a year",4 days ago,"Collating and analysing talent management data.Collaborating with the HR Director and wider HR team, you will deliver high-quality data analytics, manipulate…"
600,Account Manager - Data & Analytics - EMEA,Selby Jennings,,Oxford,,,3 days ago,Working knowledge in a subscription based data / analytics enviorment.Creation and implementation of subject-specific presentations focusing on data solutions.
601,Junior Python Software Engineer,Evolution Recruitment Solutions,4.3,Oxford,,,3 days ago,"The company uses it's understanding in big data analytics and high performance IT platforms, opening new perspectives to skin care products manufacturers and…"
602,"Test Analyst (Big Data, Hadoop)",Outsource UK,3.0,Oxford,,,12 days ago,"Responsible for data ingestion from all sources for the retail and corporate Bank into the Big Data Analytics cluster.Previously used ALM, UAT and Big Data."
603,Senior Business Analyst,Allen Associates,4.9,Oxford,,"£60,000 - £66,000 a year",4 days ago,"Providing data mining and modelling.Overseeing global customer data audits.To be successful in this role, you will have extensive experience within Data…"
604,Head of Software Architecture (Principal Engineer) - Embedde...,Openview,5.0,Oxford,Oxford,"£100,000 - £135,000 a year",6 days ago,"Experience in deploying data analytics.10+ years of experience in Embedded SW, Data Engineering, Big Data Technologies.Team Leadership: 5 years (Preferred)."
605,Senior Statistical Programming Analyst,Warman O'Brien,,Oxford,Marlow,,30+ days ago,"Knowledge of Health Research Data with the ability to analyze, interrogate, engineer and curate data from diverse sources."
606,Scrum Lead,NP Group,,Oxford,Newbury,"£95,000 a year",12 days ago,Lead Scrum Master (Data Analytics).The Scrum Master position is a servant leader and coach for the Agile Squad that deliver data analytics products for the…
607,Post Doctoral Research Fellow on Grid Impact of Electric Veh...,University of Reading,4.4,Oxford,Reading,"£30,942 - £32,817 a year",30+ days ago,Ability to carry out advanced data analytics on large data sets.Willingness to engage with industry and public for data collection and dissemination.
608,"Manager, Financial Services Internal Audit and Controls Advi...",Deloitte,4.0,Oxford,Reading,,14 days ago,"Regularly using a range of internal audit methodologies and approaches, including advanced techniques such as Data Analytics and Agile Internal Audit;"
609,"Assistant Manager, Financial Services Internal Audit and Con...",Deloitte,4.0,Oxford,Reading,,30+ days ago,"Regularly using a range of internal audit methodologies and approaches, including advanced techniques such as Data Analytics and Agile Internal Audit;"
610,Web Developer,Evolution Recruitment Solutions,4.3,Oxford,,,3 days ago,"The company uses it's understanding in big data analytics and high performance IT platforms, opening new perspectives to skin care products manufacturers and…"
611,Partnership Manager for the Devolved Administrations and Lon...,EY,4.0,Oxford,,,6 days ago,Data Analytics – particularly with excel sheets.All FDI wins have the necessary evidence for verification uploaded onto Data Hub and all key Data Hub fields…
612,BDR / SDR Software Sector,Synchro Europe,,Oxford,,"£40,000 a year",30+ days ago,"In this role, you will be expected to:Identify, profile and engage with large enterprise prospect accounts.Identify opportunities for substantial growth among…"
613,Trainee Recruiter,SW6 Associates,,Oxford,,"£20,000 - £40,000 a year",3 days ago,"My client is one of Europe's leading providers of recruitment services and advice to the Data & Analytics marketplace.Salary year 1 - OTE £35-40,000."
614,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Validate and evaluate AI performance and evaluate the social/ economic value of different AI and other machine learning products, for example."
615,"Section Leader Validation and Regulatory Affairs, Institute...",Oxford Brookes University,4.2,Oxford,,"£41,526 a year",30+ days ago,"Validate and evaluate AI performance and evaluate the social/ economic value of different AI and other machine learning products, for example."
616,Data Scientist / Software Developer,Tessella Ltd,,Oxford,,"£25,000 - £35,000 a year",30+ days ago,"The ability to interpret complex data using a variety of analytical, statistical or machine learning techniques."
617,Internship opportunities: Computer Vision and Machine Learni...,Microsoft,4.2,Oxford,Reading,,30+ days ago,Design and evaluate machine learning experiments;Develop novel machine learning models and algorithms;Knowledge of machine learning models and algorithms;…
618,Departmental Lecturer (Machine Learning),University of Oxford,4.3,Oxford,Oxford,"£41,526 - £49,553 a year",30+ days ago,"You should hold a doctoral degree in a relevant subject, such as computer science, software engineering, machine learning, or related subject and have a good…"
619,Machine Learning Engineer / Snr Machine Learning Engineer,Nucleome Therapeutics Ltd,,Oxford,Oxford OX3,"£35,000 - £58,000 a year",13 days ago,"Reference ID: Machine Learning Eng.Machine Learning: 1 year (Preferred).Experience with deep learning, transfer learning or reinforcement learning."
620,Computational Drug Designer,Exscientia,,Oxford,Oxford,,30+ days ago,Experience with machine learning and major machine learning frameworks such as scikit-learn.We are currently seeking a highly-motivated computational chemist…
621,Research Associate on KTP project on “Automated Control of S...,University of Oxford,4.3,Oxford,Oxford,,30+ days ago,State-of-the-art machine learning (ML) will integrate sensor data and observed usage patterns for service control.Fixed term for up to 3 years.
622,Research Associate on â€œInterpretable and Explainable Deep...,University of Oxford,4.3,Oxford,Oxford,"£32,817 - £40,322 a year",30+ days ago,The Artificial Intelligence and Machine Learning group at the Department of Computer Science has a vacancy for a Research Associate on “Interpretable and…
623,Research Associate on Interpretable and Explainable Deep Lea...,University of Oxford,4.3,Oxford,Oxford,"£32,817 - £40,322 a year",30+ days ago,The Artificial Intelligence and Machine Learning group at the Department of Computer Science has a vacancy for a Research Associate on “Interpretable and…
